"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,24,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,72,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,108,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,120,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,132,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,140,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,148,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,174,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,178,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,180,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,204,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,226,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,230,1000/1/1 00:00:00,1993/5/23 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,262,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,266,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,270,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,288,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,324,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,384,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,404,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,426,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,430,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,450,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,454,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,466,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,478,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,480,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,508,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,516,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,562,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,566,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,624,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,646,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,678,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,686,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,690,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,694,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,706,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,710,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,716,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,732,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,736,1000/1/1 00:00:00,2011/7/8 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,748,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,768,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,800,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,834,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,854,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,894,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2100,1000/1/1 00:00:00,2128,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2101,1000/1/1 00:00:00,2102,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2101,1000/1/1 00:00:00,2134,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2102,1000/1/1 00:00:00,2113,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2102,1000/1/1 00:00:00,2129,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2102,1000/1/1 00:00:00,2132,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,28,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,52,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,192,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,212,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,214,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,308,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,332,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,388,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,630,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,659,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,662,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,670,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2103,1000/1/1 00:00:00,780,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,156,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,158,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,196,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,344,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,376,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,392,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,408,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,410,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,422,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,760,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,792,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,2125,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2106,1000/1/1 00:00:00,2133,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,36,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,90,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,242,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,540,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,548,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2107,1000/1/1 00:00:00,554,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2108,1000/1/1 00:00:00,8,1000/1/1 00:00:00,3999/12/31 00:00:00
