"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric TIS-code of territory","Extended alphanumeric TIS-code of territory","Validity end date of territory name code"
4,1000/01/01 00:00:00,1000/01/01 00:00:00,"AF","AFG",3999/12/31 00:00:00
8,1000/01/01 00:00:00,1000/01/01 00:00:00,"AL","ALB",3999/12/31 00:00:00
12,1000/01/01 00:00:00,1000/01/01 00:00:00,"DZ","DZA",3999/12/31 00:00:00
20,1000/01/01 00:00:00,1000/01/01 00:00:00,"AD","AND",3999/12/31 00:00:00
24,1000/01/01 00:00:00,1000/01/01 00:00:00,"AO","AGO",3999/12/31 00:00:00
28,1000/01/01 00:00:00,1000/01/01 00:00:00,"AG","ATG",3999/12/31 00:00:00
31,1992/01/01 00:00:00,1992/01/01 00:00:00,"AZ","AZE",3999/12/31 00:00:00
32,1000/01/01 00:00:00,1000/01/01 00:00:00,"AR","ARG",3999/12/31 00:00:00
36,1000/01/01 00:00:00,1000/01/01 00:00:00,"AU","AUS",3999/12/31 00:00:00
40,1000/01/01 00:00:00,1000/01/01 00:00:00,"AT","AUT",3999/12/31 00:00:00
44,1000/01/01 00:00:00,1000/01/01 00:00:00,"BS","BHS",3999/12/31 00:00:00
48,1000/01/01 00:00:00,1000/01/01 00:00:00,"BH","BHR",3999/12/31 00:00:00
50,1000/01/01 00:00:00,1000/01/01 00:00:00,"BD","BGD",3999/12/31 00:00:00
51,1992/01/01 00:00:00,1992/01/01 00:00:00,"AM","ARM",3999/12/31 00:00:00
52,1000/01/01 00:00:00,1000/01/01 00:00:00,"BB","BRB",3999/12/31 00:00:00
56,1000/01/01 00:00:00,1000/01/01 00:00:00,"BE","BEL",3999/12/31 00:00:00
64,1000/01/01 00:00:00,1000/01/01 00:00:00,"BT","BTN",3999/12/31 00:00:00
68,1000/01/01 00:00:00,1000/01/01 00:00:00,"BO","BOL",3999/12/31 00:00:00
70,1992/01/01 00:00:00,1992/01/01 00:00:00,"BA","BIH",3999/12/31 00:00:00
72,1000/01/01 00:00:00,1000/01/01 00:00:00,"BW","BWA",3999/12/31 00:00:00
76,1000/01/01 00:00:00,1000/01/01 00:00:00,"BR","BRA",3999/12/31 00:00:00
84,1000/01/01 00:00:00,1000/01/01 00:00:00,"BZ","BLZ",3999/12/31 00:00:00
90,1000/01/01 00:00:00,1000/01/01 00:00:00,"SB","SLB",3999/12/31 00:00:00
96,1000/01/01 00:00:00,1000/01/01 00:00:00,"BN","BRN",3999/12/31 00:00:00
100,1000/01/01 00:00:00,1000/01/01 00:00:00,"BG","BGR",3999/12/31 00:00:00
104,1000/01/01 00:00:00,1000/01/01 00:00:00,"BU","BUR",1988/12/31 00:00:00
104,1000/01/01 00:00:00,1989/01/01 00:00:00,"MM","MMR",3999/12/31 00:00:00
108,1000/01/01 00:00:00,1000/01/01 00:00:00,"BI","BDI",3999/12/31 00:00:00
112,1992/01/01 00:00:00,1992/01/01 00:00:00,"BY","BLR",3999/12/31 00:00:00
116,1000/01/01 00:00:00,1000/01/01 00:00:00,"KH","KHM",3999/12/31 00:00:00
120,1000/01/01 00:00:00,1000/01/01 00:00:00,"CM","CMR",3999/12/31 00:00:00
124,1000/01/01 00:00:00,1000/01/01 00:00:00,"CA","CAN",3999/12/31 00:00:00
132,1000/01/01 00:00:00,1000/01/01 00:00:00,"CV","CPV",3999/12/31 00:00:00
