"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric ISO-code of language","Territory name","Official territory name","Abbreviated territory name","Unofficial territory name"
4,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","AFGHANISTAN",,"AFGHANISTAN",
4,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","AFGHANISTAN",,"AFGHANISTAN",
4,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","AFGANISTAN",,"AFGANISTAN",
4,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","AFGHANISTAN",,"AFGHANISTAN",
8,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ALBANIEN","REPUBLIK ALBANIEN","ALBANIEN",
8,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","ALBANIA","REPUBLIC OF ALBANIA","ALBANIA",
8,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","ALBANIA","REPUBLICA DE ALBANIA","ALBANIA",
8,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","ALBANIE","REPUBLIQUE D'ALBANIE","ALBANIE",
12,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ALGERIEN","DEMOKRATISCHE VOLKSREPUBLIK ALGERIEN","ALGERIEN",
12,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","ALGERIA","PEOPLE'S DEMOCRATIC REPUBLIC OF ALGERIA","ALGERIA",
12,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","ARGELIA","REPUBLICA DEMOCRATICA DEL PUEBLO DE ARGELIA","ARGELIA",
12,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","ALGERIE","REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE","ALGERIE",
20,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ANDORRA","FUERSTENTUM ANDORRA","ANDORRA",
20,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","ANDORRA","PRINCIPALITY OF ANDORRA","ANDORRA",
20,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","ANDORRA","PRINCIPADO DE ANDORRA","ANDORRA",
20,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","ANDORRE","PRINCIPAUTE D'ANDORRE","ANDORRE",
24,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","ANGOLA","REPUBLIK ANGOLA","ANGOLA",
