"Numeric TIS-code of territory","Validity start date of territory","Validity end date of territory","Usability indicator of territory","Remarks on territory","Territory type"
4,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
8,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
12,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
20,1000/01/01 00:00:00,3999/12/31 00:00:00,0,,"country"
24,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
28,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
31,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
32,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
36,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
40,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
44,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
48,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
50,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
51,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
52,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
56,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
64,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
68,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
70,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
72,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
76,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
84,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
90,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
96,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
100,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
104,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
108,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
112,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
116,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
120,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
124,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
132,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
140,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
144,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
148,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
152,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
156,1000/01/01 00:00:00,3999/12/31 00:00:00,1,"TIS-N 156 CHINA IN THE MEANING OF THIS STANDARD DOES NOT INCLUDE HONG KONG. CF. ENTRY TIS-N 344 HONG KONG.","country"
158,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
170,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
174,1000/01/01 00:00:00,3999/12/31 00:00:00,1,"THIS ENTRY REFERS TO THE STATE COMOROS, NOT TO THE ARCHIPELAGO WITH THAT NAME. IT COMPRISES THEREFORE ANJOUAN, GRANDE COMORE AND MOHELI.","country"
178,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
180,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
188,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
191,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
192,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
196,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
200,1000/01/01 00:00:00,1992/12/31 00:00:00,1,,"country"
203,1993/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
204,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
208,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
212,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
214,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
218,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
222,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
226,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
230,1000/01/01 00:00:00,1993/05/23 00:00:00,1,,"country"
231,1993/05/24 00:00:00,3999/12/31 00:00:00,1,,"country"
232,1993/05/24 00:00:00,3999/12/31 00:00:00,1,,"country"
233,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
242,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
246,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
250,1000/01/01 00:00:00,3999/12/31 00:00:00,1,"TIS-N 250 FRANCE IN THE MEANING OF THIS STANDARD DOES NOT INCLUDE FRENCH POLYNESIA. CF. ENTRY TIS-N 258 FRENCH POLYNESIA.","country"
258,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
262,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
266,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
268,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
270,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
276,1990/10/03 00:00:00,3999/12/31 00:00:00,1,,"country"
278,1000/01/01 00:00:00,1990/10/02 00:00:00,1,,"country"
280,1000/01/01 00:00:00,1990/10/02 00:00:00,1,,"country"
288,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
296,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
300,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
308,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
320,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
324,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
328,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
332,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
