CISAC Code,Society name,Former Name,Membership status,Main Repertoire,Secondary Repertoire(s),Foundation Year,Ending,Membership,Membership end,Country
001,ACUM,,Member,Musical,Literary,1936,,1949,,ISRAEL
002,ADDAF,,Member,Musical,,1958,,2000,,BRAZIL
003,AEPI,,No longer in existence,Musical,,1930,2018,1933,2017,GREECE
004,AGADU,,Member,Musical,Audiovisual - Dramatic - AGP,1929,,1933,,URUGUAY
005,AKM,,Member,Musical,,1897,,1945,,AUSTRIA
006,BUCADA,,Related to CISAC,Musical,,1985,,1988,,CENTRAL AFRICAN REPUBLIC
007,APDAYC,,Member,Musical,Dramatic,1952,,1964,,PERU
008,APRA,,Member,Musical,,1926,,1966,,AUSTRALIA
009,ARTISJUS,MARS,Member,Musical,Literary,,,1954,,HUNGARY
010,ASCAP,,Member,Musical,,1914,,1967,,UNITED STATES
011,AUSTRO-MECHANA (AUME),,Related to CISAC,Musical,,1936,,1952,2016,AUSTRIA
012,AMCOS,,Member,Musical,,1979,,1980,,AUSTRALIA
013,AWA,,No longer in existence,Musical,,1950,1990,1966,,GERMANY
014,ARGENTORES,Sociedad Argentina de Autores Dramáticos,Member,Audiovisual,Dramatic,1910,,1934,,ARGENTINA
015,APA,,Member,Musical,,1951,,1968,,PARAGUAY
016,BUMDA,,Provisional,Musical,Audiovisual - Dramatic - Literary - AGP,1978,,1986,,MALI
017,AMRA,,Member,Musical,,1960,,2005,,UNITED STATES
018,BGDA,,Provisional,Musical,Audiovisual - Dramatic - Literary - AGP,1980,,1982,,GUINEA
019,BMDAV,BMDA,Member,Musical,Dramatic - Literary,1965,,1969,,MOROCCO
020,SOCAN RR,SODRAC,Related to CISAC,Musical,AGP,1985,2018,1986,2019,CANADA
021,BMI,,Client RME ,Musical,,1940,,1964,2023,UNITED STATES
022,MCSN,,Related to CISAC,Musical,,,,1990,2023,NIGERIA
023,BUMA,,Member,Musical,,1913,,1932,,NETHERLANDS
024,BURIDA,,Provisional,Musical,Audiovisual - Dramatic - Literary - AGP,1981,,1982,,COTE D'IVOIRE
025,SODAV,BSDA  ,Member,Musical,Audiovisual - Dramatic - Literary - AGP,1972,,1974,,SENEGAL
026,CASH,,Member,Musical,,1977,,1978,,HONG KONG
027,CAPAC,CPRS,No longer in existence,Musical,,1925,,,,CANADA
028,LITA,,Member,Audiovisual,Dramatic - Literary - AGP,,,1970,,SLOVAKIA
029,SCD,,Member,Musical,,1987,,1988,,CHILE
030,AMAR,,Member,Musical,,,,1994,,BRAZIL
031,DILIA,,Member,Audiovisual,Literary,1949,,1952,,CZECH REPUBLIC
032,FILSCAP,,Member,Musical,,1965,,1986,,PHILIPPINES
033,OMDA,,Provisional,Musical,Audiovisual - Dramatic - Literary,1984,,1989,,MADAGASCAR
034,HFA,,Related to CISAC,Musical,,1927,,,,UNITED STATES
035,GEMA,,Member,Musical,,1903,,1934,,GERMANY
036,IPRS,,Member,Musical,,1969,,1970,,INDIA
037,BUBEDRA,,Provisional,Musical,Audiovisual - Dramatic - Literary - AGP,1986,,1988,,BENIN
038,JASRAC,,Member,Musical,,1940,,1960,,JAPAN
039,MUSICAUTOR,,Member,Musical,,1993,,1993,,BULGARIA
040,KODA,,Member,Musical,,1926,,1932,,DENMARK
041,LITERAR-MECHANA,,Member,Literary,Audiovisual,1959,,1964,,AUSTRIA
042,LVG,,No longer in existence,Literary,,1937,2007,1937,2008,AUSTRIA
043,MCSK,,Provisional,Musical,,1983,,1985,,KENYA
044,MCPS,,Client RME ,Musical,,1911,,CISAC 1965 - Client RME 2021,2021,UNITED KINGDOM
045,BBDA,,Provisional,Musical,Audiovisual - Dramatic - Literary - AGP,1985,,1989,,BURKINA FASO
046,MRS,,No longer in existence,Musical,,,2003,,,UNITED KINGDOM
047,BCDA,,Provisional,Musical,Audiovisual - Dramatic - Literary,1986,,1987,,CONGO
048,NCB,,Member,Musical,,1915,,1933,,DENMARK
049,ONDA,,Member,Musical,Audiovisual - Dramatic - Literary,1973,,1977,,ALGERIA
050,OSA,,Member,Musical,,1919,,1948,,CZECH REPUBLIC
051,PROLITTERIS,,Member,Literary,AGP,1982,,1984,,SWITZERLAND
052,PRS,MCPS-PRS Alliance,Member,Musical,,1914,,1966,,UNITED KINGDOM
053,PROCAN,,No longer in existence,Musical,,1940,1989,1980,,CANADA
054,ALCS,,Member,Literary,"Audiovisual,AGP",1977,,1979,,UNITED KINGDOM
055,SABAM,,Member,Musical,Audiovisual-Dramatic-Literary-AGP,1922,,1930,,BELGIUM
056,SACD,,Member,Audiovisual,Dramatic,1829,,1926,,FRANCE
057,SACERAU,,Related to CISAC,Musical,Audiovisual,,,1965,2025,EGYPT
058,SACEM,,Member,Musical,,1851,,1930,,FRANCE
