Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
ALL RECIPIENTS,0000,,,,
13 Music Limited,THI,,605207681,26/08/2010,
1830 Music,DUC,,443889221,13/12/2016,
22d Music Netherlands,DNM,,659908195,26/10/2012,
22D MUSIC US1,TTD,,639938883,02/03/2015,
411 Publishing Co 10,FCM,,700548571,14/02/2017,
411 Publishing Company 20,FCM,,701691267,14/02/2017,
411 Publishing Company 20,FOO,,701691267,11/04/2016,
4AD Music Limited,4AD,,293165943,15/03/2010,
A AND E TELEVISION NETWORKS,AE,,571046465,26/02/2009,
AACIMH,226,Honduras,,,
ABOOD MUSIC LIMITED,ABO,,420344502,31/03/2009,
ABRAC,166,Brazil,,,
ABRAMUS,167,Brazil,,,
ACAM,107,Costa Rica,,,
ACCESS,168,Canada (Formerly CANCOPY),,,
Accorder Music Publishing America,ACC,,606033489,05/09/2013,
Accorder Music Publishing Ltd,ACC,,574766600,31/01/2013,
ACDAM,103,Cuba,,,
ACEMLA,76,Puerto Rico,,,
ACTIVE MUSIC PUBLISHING PTY L,ACT,,632147961,16/11/2016,
ACUM,1,Israel,,,
ADAGP,148,France,,,
ADAVIS,230,Cuba,,,
ADDAF,2,Brazil,,,
AEPI,3,Greece,,,
AETN MUSIC PUBLISHING,AE,,439458227,26/02/2009,
AETN UK MUSIC PUBLISHING,AE,,563705052,26/02/2009,
Africori Limited,AFR,,766878371,24/11/2015,
AFSG,MLG,,499371105,07/08/2014,
AGADU,4,Uruguay,,,
AGAYC,114,Guatemala,,,
AIR EDEL ASSOCIATES LTD,AAL,,69817433,07/01/2009,
AIRSTATE LTD,AIR,,538752522,01/04/2008,
AKKA/LAA,122,Latvia,,,
AKM,5,Austria,,,
ALBAUTOR,127,Albania,,,
ALCS,54,United Kingdom,,,
Alibi Music Library Limited,AML,,747633515,13/08/2014,
All Music Publishing,ALL,,245975824,07/12/2016,
Allforone Music Sarl,ALF,,658100360,08/04/2013,
Alliance Audiosparx,AX,,571922832,19/04/2011,
Almo Music Corporation,AM,,649518,30/03/2001,10/02/2006
Almo Music of Canada,AC,,201723811,01/08/2001,10/02/2006
Alpha Music Publishing Uk Limited,ALP,,623117288,08/11/2010,
Altitude Balloon,AB,,722094072,06/11/2013,
Alvaro Music Bv,ALV,,756126240,03/11/2015,
AMAR,30,Brazil,,,
AMCOS,12,Australia,,,
AME MUSIKVERLAG EDWARD KASSNER GMBH,AME,,803150,01/04/2008,
AMPAL,162,Australia,,,
AMRA,17,USA,,,
A-music eurl,AUN,,662273543,16/11/2016,
ANACIM,169,Brazil,,,
Annie Reed Music Ltd,ARM,,500843097,25/01/2013,
Another Victory Inc,AVI,,344251975,12/06/2014,
APA,15,Paraguay,,,
APDAYC,7,Peru,,,
APG-JAPAN,163,Japan,,,
Apollo Music,APL,,221836292,27/05/2016,
Aporai Records Inc,APO,,500838968,08/05/2015,
Aporetic Music Publishing,APO,,538783703,08/05/2015,
APRA,8,Australia,,,
APSAV,164,Peru,,,
Arcadia (Msi),ARC,,145452678,19/04/2011,
Arcadia Entertainment Muzik Ve Belgesel Pazarlama Ltd Sti,AEM,,606880144,28/12/2010,
ARGENTORES,14,Argentina,,,
ARMAUTHOR,170,Armenia,,,
ARS,149,USA,,,
ARTISJUS,9,Hungary,,,
ASCAP,10,USA,,,
ASDAC,171,Moldova - Republic Of,,,
ASSIM,172,Brazil,,,
Associated Production Music,AP,,125420903,20/08/2003,
At Publishing,ATP,,292124184,11/04/2017,
ATIDA,173,Brazil,,,
Atlas Music Group,AMG,,723469435,25/11/2013,
ATN,141,Chile (formerly known as GESATCH),,,
ATN,174,Chile,,,
Audio Network (Holland) B.V.,AUN,,606242674,22/09/2014,
Audio Network Gmbh,AUN,,796038501,12/04/2017,
Audio Network Plc,AUN,,400327711,05/10/2010,
Audiomicro Publishing,AUM,,558005946,06/08/2014,
AUSTRO-MECHANA,11,Austria,,,
AUTORARTE,175,Venezuela,,,
AUTVIS,231,Brazil,,,
Avenue Editorial Suisse,AVE,,457759896,08/04/2013,
AWA,13,German Dem Rep,,,
AWGACS,176,Australia,,,
BAD BOYS PRODUCTIONS MUSIC BV,EXT,,454570744,01/11/2006,
Bailer Music Publishing Limited,BAI,,786304125,10/11/2015,16/02/2016
Bailer Music Publishing Limited,BMP,,786304125,16/02/2016,
Bailers Music Publishing,BMP,,761912729,01/07/2015,
BAYHAM MUSIC LIBRARY,EXT,,358038941,01/11/2006,
BBDA,45,Burkina Faso,,,
BCDA,47,Congo,,,
Because Editions,BEC,,470529551,16/11/2016,
BEELDRECHT,150,Netherlands,,,
Belletulipe Sa,BLT,,42006925,08/04/2013,
Bennett Coleman And Co Ltd,TIM,,480224672,28/11/2016,
BGDA,18,Guinea,,,
Big Branch Music Inc,BBM,,812741653,08/03/2017,
Big Music Machine,BGM,,598230813,19/11/2013,
BILD-KUNST,132,German Federal Republic,,,
Bixio Music Group Ltd,BIX,,335716364,12/12/2008,
BLOC NOTES ED,BN,,138210895,26/01/2005,
BLUE MOUNTAIN MUSIC LTD,BMM,,3429518,10/01/2008,
BLUEWATER MUSIC CORP,BMC,,161970171,09/06/2008,
BMDA,19,Morocco,,,
BMG,BG,,127696446,,
BMG RIGHTS MANAGEMENT GMBH,BRM,,567521924,21/11/2008,
BMI,21,USA,,,
BNDA,125,Niger,,,
Bno Publishing,BNO,,615006785,13/07/2016,
Bonnier Music Publishing,BON,,282451467,14/01/2004,
BONO,151,Norway,,,
Boom Sky Trade Pty Ltd,AFR,,726215459,21/01/2016,
Boosey And Hawkes,IMA,,69676520,22/10/2012,
Boosey And Hawkes Inc,BHI,,39985231,17/11/2009,
Boosey-And-Hawkes-Music-Publ- Ltd,BHM,,3696688,05/10/2010,
BOTE BOCK DER BOOSEY HAWKES BOTE BOCK GMBH CO EDITION,GBH,,400153721,01/12/2011,
Bridge Building Music Inc,BB,,48748541,19/07/2000,
Broon Songs Gmbh & Co. Kg,BS,,765101164,06/07/2015,
BSDA,25,Senegal,,,
BUBEDRA,37,Benin,,,
Bucks Music Italia Srl,BUX,,123582589,04/01/2010,
Bucks Music Limited,BK,,55248283,19/07/2004,
BUCUDA,6,Central Afr Rep,,,
Budde Music Scandinavia,BUD,,624652550,18/01/2011,
Budde Music Uk,BUD,,567790301,18/01/2011,
Bug Music B V,BL,,204488674,09/02/2009,
BUG MUSIC BENELUX B.V.,BL,,571724052,09/02/2009,
BUG MUSIC BENELUX TQ,BL,,571724150,09/02/2009,
BUG MUSIC BENELUX WINDSWEPT,BL,,572102286,09/02/2009,
BUG MUSIC LIMITED,BL,,176871136,17/02/2003,
"BUG MUSIC, INC. ",BU,,36210128,17/08/1999,
BUMA,23,Netherlands,,,
BUMDA,16,Mali,,,
BURAFO,177,Netherlands,,,
BURIDA,24,Ivory Coast,,,
BUS,152,Sweden,,,
Business Nieuws Holding Bv,BNH,,637426829,03/11/2015,
BUTODRA,130,Togo,,,
C2w Music Ltd,CWW,,698695161,12/04/2013,
Cafe' Concerto International S,CIN,,583260740,27/01/2017,
Cafe' Concerto Italia Ed Mus,CIT,,423433979,27/01/2017,
Cafe Concerto S R L,CAF,,184962039,22/04/2010,
