RecordCode,Field,Start,Size,Fmt,Req,Field Description,CWR_Version
ACK,Record Type,1,3,A,M,Set Record Type = ACK (Acknowledgement of Transaction),2
ACK,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
ACK,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
ACK,Creation Date,20,8,D,M,The Creation Date of the original file that contained the transaction to which this ACK applies.,2
ACK,Creation Time,28,6,T,M,The Creation Time of the original file that contained the transaction to which this ACK applies.,2
ACK,Original Group ID,34,5,N,M,The Group ID within which the original transaction to which this ACK applies.,2
ACK,Original Transaction Sequence #,39,8,N,M,"The Transaction Sequence # of the original transaction to which this ACK applies. Note that if the ACK is a result of a HDR or TRL record problem, set this field to zeroes.",2
ACK,Original Transaction Type,47,3,L,M,"The Transaction Type of the original transaction to which this ACK applies. Note that if the ACK is a result of a HDR or TRL record problem, set this field to HDR or TRL (whichever is applicable).",2
ACK,Creation Title,50,60,A,C,The creation title as delivered by the submitter (i.e. the title of the musical work or audio visual production...). This field is required if the ACK is in response to an NWR or REV transaction.,2
ACK,Submitter Creation #,110,20,A,C,The unique identifier assigned by the original submitter to this work. This field is required if the ACK is in response to a transaction.,2
ACK,Recipient Creation #,130,20,A,C,The unique identifier assigned by the recipient to this work. This field is required if the ACK is in response to a transaction and if the transaction status indicates that the recipient has accepted the work.,2
ACK,Processing Date,150,8,D,M,The date this transaction or file was formally processed by the recipient.,2
ACK,Transaction Status,158,2,L,M,The current status of this transaction. Values for this field reside in the Transaction Status Table.,2
AGR,Record Type,1,3,A,M,Set Record Type = AGR (Agreement),2
AGR,Transaction Sequence Num,4,8,N,"If this is the first transaction within a group, the Transaction Sequence # must be equal to 00000000. Otherwise, for transaction headers, the Transaction Sequence # must be equal to the previous transaction header’s Transaction Sequence # incremented by 1. For detail records, the Transaction Sequence # must be equal to the Transaction Sequence # of the previous transaction header.",2,
AGR,Record Sequence Num,12,8,N,"For transaction headers, always set to 00000000. For detail records, set this field to the Record Sequence # of the previous record written to the file incremented by 1.",2,
AGR,Submitter Agreement Number,20,14,A,M,The submitter's unique identifier for this agreement.,2
AGR,International Standard Agreement Code,34,14,A,O,The ISAC that has been assigned to this agreement. Note this code is not yet available.,2
AGR,Agreement Type,48,2,L,M,Code defining the category of agreement. The values reside in the Agreement Type Table.,2
AGR,Agreement Start Date,50,8,D,M,The date on which the transfer of rights to the acquiring party becomes effective. This field is mandatory.,2
AGR,Agreement End Date,58,8,D,O,The date on which the transfer of rights to the acquiring party ceases except for the agreed provisions concerning entitlements such as a collection.,2
